,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,2-1458666-4.html.csv,sport,superlative,The United States has achieved the highest total number of wins with 32 championships.,1,1
1,2-1458666-4.html.csv,sport,comparative,"Australia and England both have the same total number of wins, with 5 championships each.",1,1
2,2-1458666-4.html.csv,sport,aggregation,A total of 56 championships have been won across all the listed nations.,1,1
3,2-1458666-4.html.csv,sport,count,"There are 6 nations that have won only individual championships, without any team wins.",1,1
4,2-1458666-4.html.csv,sport,simple,"Japan and Wales each have a total of 1 win, but none of these wins were individual championships.",1,0
5,2-17814838-6.html.csv,sport,superlative,The match between Arsenal and Cardiff City in the replay had the highest attendance with 57237 spectators.,1,1
6,2-17814838-6.html.csv,sport,count,There were 11 replay matches recorded in the 2008-09 FA Cup based on the provided data.,1,1
7,2-17814838-6.html.csv,sport,comparative,Chelsea's 3-1 win against Ipswich Town saw a higher combined score than the 2-1 victory of Sheffield United against Charlton Athletic.,1,1
8,2-17814838-6.html.csv,sport,simple,Liverpool and Everton played to a 1-1 draw in the first tie with an attendance of 43524.,1,1
9,2-17814838-6.html.csv,sport,aggregation,"The total attendance for all replay matches sums to 181,028 spectators.",1,0
10,2-170969-2.html.csv,mix,superlative,"Saint James has the largest area among the listed parishes, covering 555.99 km².",1,1
11,2-170969-2.html.csv,mix,comparative,"Saint George has a higher population than Saint Croix, with 2476 residents compared to 670.",1,1
12,2-170969-2.html.csv,mix,simple,Dufferin parish has a population of 535 and an area of 12.40 km².,0,1
13,2-170969-2.html.csv,mix,ordinal,"Clarendon parish has the lowest census ranking among the listed parishes, ranking 4565 of 5008.",1,0
14,2-170969-2.html.csv,mix,aggregation,"The total population of the 15 listed parishes is 15,522.",1,1
15,2-14255774-8.html.csv,sport,superlative,"The game against the Rockies on September 21st had the highest combined score of the season, totaling 17 runs.",1,1
16,2-14255774-8.html.csv,sport,aggregation,"The average attendance for games against the Cardinals was approximately 39,000 across the multiple series played.",1,1
17,2-14255774-8.html.csv,sport,simple,The Diamondbacks' record at the end of the season was 82 wins and 80 losses.,0,1
18,2-14255774-8.html.csv,sport,comparative,Attendance was generally higher for games against the Dodgers and Cardinals compared to games against the Giants and Rockies.,1,1
19,2-14255774-8.html.csv,sport,count,There were 7 different opponents played during the recorded period of the 2008 Arizona Diamondbacks season.,1,1
20,2-17964087-2.html.csv,politics,simple,Paul Chan Chi-yuen was appointed to the Food and Health portfolio at the age of 28.,1,1
21,2-17964087-2.html.csv,politics,aggregation,The average age of appointees in the table is approximately 37 years old.,1,1
22,2-17964087-2.html.csv,politics,comparative,Linda Choy Siu-min is older than Caspar Tsui Ying-wai by 6 years.,1,0
23,2-17964087-2.html.csv,politics,count,There are two appointees with British nationality in the table.,1,1
24,2-17964087-2.html.csv,politics,superlative,Victor Lo Yik-kee is the oldest appointee at 55 years of age.,1,1
25,2-12582968-1.html.csv,sport,superlative,Lukáš Melich achieved his highest throw of 79.36 m at the 2013 World Championships.,1,1
26,2-12582968-1.html.csv,sport,comparative,His performance at the 2013 World Championships (79.36m) was higher than his performance at the 2009 World Championships (74.47m).,1,1
27,2-12582968-1.html.csv,sport,simple,Lukáš Melich participated in the Olympic Games in both 2008 and 2012.,1,1
28,2-12582968-1.html.csv,sport,ordinal,The 3rd position at the 2013 World Championships represents Lukáš Melich's best ranking in the competitions listed.,1,1
29,2-12582968-1.html.csv,sport,count,Lukáš Melich competed in 11 different competitions as recorded in the table.,1,1
